"sector","year","mitigation_ch4","mitigation_n2o","mitigation_fghg","mitigation_total"
"AGRICULTURE",2020,631.482917223917,526.782346452837,0,1158.26526367676
"AGRICULTURE",2025,641.223253076387,541.136128782727,0,1182.35938185912
"AGRICULTURE",2030,684.415630804722,538.6789906753,0,1223.09462148002
"AGRICULTURE",2035,780.336375025875,535.673656179095,0,1316.01003120497
"AGRICULTURE",2040,877.833916335651,536.238162527552,0,1414.0720788632
"AGRICULTURE",2045,972.688328242642,538.537676494086,0,1511.22600473673
"AGRICULTURE",2050,1069.30002172387,543.087772976316,0,1612.38779470019
"AGRICULTURE",2055,1071.67657258708,544.811333952338,0,1616.48790653942
"AGRICULTURE",2060,1075.99215792244,540.552606959723,0,1616.54476488217
"AGRICULTURE",2065,1079.89673111563,537.12095277436,0,1617.01768388999
"AGRICULTURE",2070,1084.87499719849,534.27589381955,0,1619.15089101804
"AGRICULTURE",2075,1090.49051192877,532.033360738223,0,1622.52387266699
"AGRICULTURE",2080,1097.18170624653,530.220462577662,0,1627.40216882419
"ENERGY",2020,1220.82513532847,0,0,1220.82513532847
"ENERGY",2025,1246.04889632438,0,0,1246.04889632438
"ENERGY",2030,1249.32719468362,0,0,1249.32719468362
"ENERGY",2035,1309.01389322063,0,0,1309.01389322063
"ENERGY",2040,1370.68265959221,0,0,1370.68265959221
"ENERGY",2045,1438.44522058009,0,0,1438.44522058009
"ENERGY",2050,1513.02711573587,0,0,1513.02711573587
"ENERGY",2055,1523.42044766841,0,0,1523.42044766841
"ENERGY",2060,1547.20645159596,0,0,1547.20645159596
"ENERGY",2065,1556.43184378996,0,0,1556.43184378996
"ENERGY",2070,1578.56167836552,0,0,1578.56167836552
"ENERGY",2075,1586.72327355242,0,0,1586.72327355242
"ENERGY",2080,1607.3213478709,0,0,1607.3213478709
"INDUSTRIAL",2020,0,140.823664877242,387.978476302739,528.802141179981
"INDUSTRIAL",2025,0,163.181801017408,312.92996041491,476.111761432318
"INDUSTRIAL",2030,0,186.560835455825,366.636201464447,553.197036920272
"INDUSTRIAL",2035,0,216.122339281436,496.07957900468,712.201918286116
"INDUSTRIAL",2040,0,247.124881934199,687.740837461032,934.865719395232
"INDUSTRIAL",2045,0,288.153442165835,848.694045043203,1136.84748720904
"INDUSTRIAL",2050,0,331.202575451805,1019.82049807288,1351.02307352468
"INDUSTRIAL",2055,0,332.629459434118,1025.71200999997,1358.34146943409
"INDUSTRIAL",2060,0,334.004779735019,1030.81545794296,1364.82023767798
"INDUSTRIAL",2065,0,335.330651201063,1035.31194512341,1370.64259632448
"INDUSTRIAL",2070,0,336.609039134603,1039.01046510629,1375.61950424089
"INDUSTRIAL",2075,0,337.841837619674,1041.99238178923,1379.8342194089
"INDUSTRIAL",2080,0,339.03085863065,1044.48978169097,1383.52064032162
"WASTE",2020,835.288142545996,0,0,835.288142545996
"WASTE",2025,929.371077099036,0,0,929.371077099036
"WASTE",2030,1045.19304322288,0,0,1045.19304322288
"WASTE",2035,1115.42520793827,0,0,1115.42520793827
"WASTE",2040,1180.79505564211,0,0,1180.79505564211
"WASTE",2045,1242.8844486177,0,0,1242.8844486177
"WASTE",2050,1301.04253929354,0,0,1301.04253929354
"WASTE",2055,981.952325912824,0,0,981.952325912824
"WASTE",2060,1321.74593316135,0,0,1321.74593316135
"WASTE",2065,987.537515376065,0,0,987.537515376065
"WASTE",2070,1340.52473104459,0,0,1340.52473104459
"WASTE",2075,992.595813121997,0,0,992.595813121997
"WASTE",2080,1357.56026891785,0,0,1357.56026891785
